Email,Opportunity title,Owner name,Host,CLAIM_URL,Slug
luke@anytimefitness.co.uk,"Anytime Fitness - Nationwide Franchise","Anytime Fitness - Nationwide Franchise","Anytime Fitness","https://www.thenetworkeruk.com/opportunities/antyime-fitness-nationwide-franchise?email=luke%40anytimefitness.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","antyime-fitness-nationwide-franchise"
info@apollocare.co.uk,"Apollo Care Franchise","Apollo Care Franchise","Apollo Care","https://www.thenetworkeruk.com/opportunities/apollo-care-franchise?email=info%40apollocare.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","apollo-care-franchise"
intl.franchising@dinebrands.com,"Applebee's Grill + Bar Franchise","Applebee's Grill + Bar Franchise","Applebee's Grill + Bar","https://www.thenetworkeruk.com/opportunities/applebee-s-grill-bar-franchise?email=intl.franchising%40dinebrands.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","applebee-s-grill-bar-franchise"
james@aspray.com,"Aspray Franchise","Aspray Franchise","Aspray","https://www.thenetworkeruk.com/opportunities/aspray-franchise?email=james%40aspray.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","aspray-franchise"
nick.tubb@auditel.co.uk,"Auditel Franchise","Auditel Franchise","Auditel","https://www.thenetworkeruk.com/opportunities/auditel-franchise?email=nick.tubb%40auditel.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","auditel-franchise"
franchising@auntieannes.co.uk,"Auntie Anne’s Franchise","Auntie Anne’s Franchise","Auntie Anne’s","https://www.thenetworkeruk.com/opportunities/auntie-anne-s-franchise?email=franchising%40auntieannes.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","auntie-anne-s-franchise"
dean@aureumfinance.co.uk,"Aureum Finance Franchise","Aureum Finance Franchise","Aureum Finance","https://www.thenetworkeruk.com/opportunities/aureum-finance-franchise?email=dean%40aureumfinance.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","aureum-finance-franchise"
franchise@babyballers.com,"BabyBallers Franchise","BabyBallers Franchise","BabyBallers","https://www.thenetworkeruk.com/opportunities/babyballers-franchise?email=franchise%40babyballers.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","babyballers-franchise"
info@backnine.co.uk,"Back Nine Franchise","Back Nine Franchise","Back Nine","https://www.thenetworkeruk.com/opportunities/back-nine-franchise?email=info%40backnine.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","back-nine-franchise"
31flavour@baskinrobbins.com,"Baskin-Robbins Franchise","Baskin-Robbins Franchise","Baskin-Robbins","https://www.thenetworkeruk.com/opportunities/baskin-robbins-franchise?email=31flavour%40baskinrobbins.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","baskin-robbins-franchise"
