Email,Organiser name,OTHER_GROUPS_NOTE,CLAIM_URL
support@1networking.biz,"1N","","https://www.thenetworkerhub.com/organisers/1n?email=support%401networking.biz&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@agcc.co.uk,"Aberdeen & Grampian Chamber of Commerce","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-aberdeen?email=info%40agcc.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
support@afvbc.com,"AFVBC (Armed Forces & Veterans Breakfast Clubs)","","https://www.thenetworkerhub.com/organisers/afvbc-armed-forces-veterans-breakfast-clubs?email=support%40afvbc.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
alanacaresolutions@gmail.com,"Alana Care Solutions","","https://www.thenetworkerhub.com/organisers/alana-care-solutions?email=alanacaresolutions%40gmail.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
avbn@ambervalley-business-networking.co.uk,"Amber Valley Business Networking","","https://www.thenetworkerhub.com/organisers/amber-valley-business-networking?email=avbn%40ambervalley-business-networking.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
president@asb-scotland.org,"ASB (Association of Scottish Business Women)","","https://www.thenetworkerhub.com/organisers/asb-association-of-scottish-business-women?email=president%40asb-scotland.org&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
website@birmingham-chamber.com,"Asian Business Chamber of Commerce","","https://www.thenetworkerhub.com/organisers/asian-business-chamber-of-commerce?email=website%40birmingham-chamber.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@b4-business.com,"B4","","https://www.thenetworkerhub.com/organisers/b4?email=info%40b4-business.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
cassie@cfatax.co.uk,"Barco business club","","https://www.thenetworkerhub.com/organisers/barco-business-club?email=cassie%40cfatax.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@brchamber.co.uk,"Barnsley & Rotherham - Chamber of Commerce","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-barnsley-rotherham?email=info%40brchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
support@batleyentrepreneurshipclub.com,"Batley Entrepreneurship Club","","https://www.thenetworkerhub.com/organisers/batley-entrepreneurship-club?email=support%40batleyentrepreneurshipclub.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
brian@bbnetworking.co.uk,"BBN Networking","","https://www.thenetworkerhub.com/organisers/bbn-networking?email=brian%40bbnetworking.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
