Email,Organiser name,OTHER_GROUPS_NOTE,CLAIM_URL
dorset@bni.co.uk,"BNI -Bay","","https://www.thenetworkeruk.com/organisers/bni-bay?email=dorset%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
carol@events-simplified.co.uk,"BNI -Graphene BNI","","https://www.thenetworkeruk.com/organisers/bni-graphene-bni-manchester-mid-morning?email=carol%40events-simplified.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
durhamteesside@bni.co.uk,"BNI -Steel BNI (Middlesbrough)","","https://www.thenetworkeruk.com/organisers/bni-steel-bni-middlesbrough?email=durhamteesside%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
hertfordshirenorthandeast@bni.co.uk,"BNI -Synergy (Hertford)","","https://www.thenetworkeruk.com/organisers/bni-synergy-hertford?email=hertfordshirenorthandeast%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
yorkshire@bni.co.uk,"BNI -Synergy BNI Barnsley","","https://www.thenetworkeruk.com/organisers/bni-synergy-bni-barnsley?email=yorkshire%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
essexwest@bni.co.uk,"BNI A27 - Essex West","","https://www.thenetworkeruk.com/organisers/bni-bni-a27-essex-west?email=essexwest%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
essexeast@bni.co.uk,"BNI Action - Essex East","","https://www.thenetworkeruk.com/organisers/bni-bni-action-essex-east?email=essexeast%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
tim@bni-lne.com,"BNI Alliance","","https://www.thenetworkeruk.com/organisers/bni-alliance?email=tim%40bni-lne.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
northwest@bni.co.uk,"BNI Alpha - Liverpool","","https://www.thenetworkeruk.com/organisers/bni-bni-alpha-liverpool?email=northwest%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
londoneast@bni.co.uk,"BNI Apollo - London East","","https://www.thenetworkeruk.com/organisers/bni-bni-apollo-london-east?email=londoneast%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
bristol@bni.co.uk,"BNI Bradman (Bristol)","","https://www.thenetworkeruk.com/organisers/bni-bni-bradman-bristol?email=bristol%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
enquiries@bnionline.co.uk,"BNI Brunch (Samlesbury)","","https://www.thenetworkeruk.com/organisers/bni-brunch-samlesbury?email=enquiries%40bnionline.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
londoncentral@bni.co.uk,"BNI Central - Central London & The City","","https://www.thenetworkeruk.com/organisers/bni-bni-central-central-london-the-city?email=londoncentral%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
somerset@bni.co.uk,"BNI Concorde - Somerset","","https://www.thenetworkeruk.com/organisers/bni-bni-concorde-somerset?email=somerset%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
kentwest@bni.co.uk,"BNI Conversion - Kent West","","https://www.thenetworkeruk.com/organisers/bni-bni-conversion-kent-west?email=kentwest%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
enquiries@bnidevon.co.uk,"BNI Devon","","https://www.thenetworkeruk.com/organisers/bni-devon?email=enquiries%40bnidevon.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
paul@bnidorset.co.uk,"BNI Dorset","","https://www.thenetworkeruk.com/organisers/bni-dorset?email=paul%40bnidorset.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
pfitzsimmons@wilfordsmith.com,"BNI Fusion Warrington","","https://www.thenetworkeruk.com/organisers/bni-fusion-warrington?email=pfitzsimmons%40wilfordsmith.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
cambridgeshire@bni.co.uk,"BNI Granta - Cambridge","","https://www.thenetworkeruk.com/organisers/bni-bni-granta-cambridge?email=cambridgeshire%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
suffolk@bni.co.uk,"BNI Legend - Suffolk","","https://www.thenetworkeruk.com/organisers/bni-bni-legend-suffolk?email=suffolk%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
duncan@1pcs.co.uk,"BNI Leicestershire and Rutland","","https://www.thenetworkeruk.com/organisers/bni-leicestershire-and-rutland?email=duncan%401pcs.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
liverpool@bni.co.uk,"BNI Lima - Liverpool","","https://www.thenetworkeruk.com/organisers/bni-bni-lima-liverpool?email=liverpool%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
paulsmith@bni.com,"BNI Marina","","https://www.thenetworkeruk.com/organisers/bni-marina?email=paulsmith%40bni.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
yorkshire_east@bni.co.uk,"BNI Marina (Hull)","","https://www.thenetworkeruk.com/organisers/bni-aspire-bni-hull?email=yorkshire_east%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
southwest@bni.co.uk,"BNI Parade (Bath)","","https://www.thenetworkeruk.com/organisers/bni-bni-parade-bath?email=southwest%40bni.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
alastair.mcleod@businessdoctors.co.uk,"BNI Pavilion","","https://www.thenetworkeruk.com/organisers/bni-pavilion?email=alastair.mcleod%40businessdoctors.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
