Email,Organiser name,OTHER_GROUPS_NOTE,CLAIM_URL
connect@clubsynergy.co.uk,"Club Synergy","","https://www.thenetworkeruk.com/organisers/club-synergy?email=connect%40clubsynergy.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
commercial@swfc.co.uk,"Club Wednesday Sheffield Weds FC","","https://www.thenetworkeruk.com/organisers/club-wednesday-sheffield-weds-fc?email=commercial%40swfc.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
coastalmeetings@gmail.com,"CoastalNet","","https://www.thenetworkeruk.com/organisers/coastalnet?email=coastalmeetings%40gmail.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@thecobraclub.co.uk,"Cobra Club","","https://www.thenetworkeruk.com/organisers/cobra-club?email=info%40thecobraclub.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
hello@cwscreatives.com,"Coffee Work Sleep (CWS)","","https://www.thenetworkeruk.com/organisers/coffee-work-sleep-cws?email=hello%40cwscreatives.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@communitycolab.co.uk,"CoLab","","https://www.thenetworkeruk.com/organisers/colab?email=info%40communitycolab.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@colemantrainingdevelopment.com,"Coleman Training Development","","https://www.thenetworkeruk.com/organisers/coleman-training-development?email=info%40colemantrainingdevelopment.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
tim@collaboratemk.co.uk,"Collaborate MK","","https://www.thenetworkeruk.com/organisers/collaborate-mk?email=tim%40collaboratemk.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
gill@collaborationglobal.org,"Collaboration Global","","https://www.thenetworkeruk.com/organisers/collaboration-global?email=gill%40collaborationglobal.org&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
help@colleaguesontap.com,"Colleagues on tap","","https://www.thenetworkeruk.com/organisers/colleagues-on-tap?email=help%40colleaguesontap.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
kirsty@kirstyjames.co.uk,"Colony Networking","","https://www.thenetworkeruk.com/organisers/colony-networking?email=kirsty%40kirstyjames.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@communityfirstyorkshire.org.uk,"Community First Yorkshire – Network Events","","https://www.thenetworkeruk.com/organisers/community-first-yorkshire-network-events?email=info%40communityfirstyorkshire.org.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
simon@thechw.co.uk,"Connect & Collaborate (Telford)","","https://www.thenetworkeruk.com/organisers/connect-collaborate-telford?email=simon%40thechw.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@biskit.co.uk,"Connect over a cuppa","","https://www.thenetworkeruk.com/organisers/connect-over-a-cuppa?email=info%40biskit.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
paul@connectsurrey.com,"Connect Surrey","","https://www.thenetworkeruk.com/organisers/connect-surrey?email=paul%40connectsurrey.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
corinnanicol@gmail.com,"Connect Women in Biz","","https://www.thenetworkeruk.com/organisers/connect-women-in-biz?email=corinnanicol%40gmail.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@connectyorkshire.org,"Connect Yorkshire","","https://www.thenetworkeruk.com/organisers/connect-yorkshire?email=info%40connectyorkshire.org&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
admin@kingstreetstudios.co.uk,"Connects Network (Staffordshire)","","https://www.thenetworkeruk.com/organisers/connects-network-staffordshire?email=admin%40kingstreetstudios.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
network@cornerstone-northants.org,"Cornerstone","","https://www.thenetworkeruk.com/organisers/cornerstone?email=network%40cornerstone-northants.org&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info.costa@btconnect.com,"Costa Rural Support Network","","https://www.thenetworkeruk.com/organisers/costa-rural-support-network?email=info.costa%40btconnect.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@cotswoldnetworking.co.uk,"Cotswold Networking Bath","","https://www.thenetworkeruk.com/organisers/cotswold-networking-bath?email=info%40cotswoldnetworking.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
sam.thomas@countybusinessclubs.co.uk,"County Business Clubs","","https://www.thenetworkeruk.com/organisers/county-business-clubs?email=sam.thomas%40countybusinessclubs.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@coworkwhitby.co.uk,"Cowork Whitby Monthly Socials","","https://www.thenetworkeruk.com/organisers/cowork-whitby-monthly-socials?email=info%40coworkwhitby.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
hello@creativecontent.company,"Creative Content Company","","https://www.thenetworkeruk.com/organisers/creative-content-company?email=hello%40creativecontent.company&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
paul@kehorne.co.uk,"Cross Reference Networking","","https://www.thenetworkeruk.com/organisers/cross-reference-networking?email=paul%40kehorne.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
craig@crseditorial.co.uk,"CRS Editorial Leeds Netwalk","","https://www.thenetworkeruk.com/organisers/crs-editorial-leeds-netwalk?email=craig%40crseditorial.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
claire.muir3@nhs.net,"Cumbria Social Enterprise Partnership","","https://www.thenetworkeruk.com/organisers/cumbria-social-enterprise-partnership?email=claire.muir3%40nhs.net&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
shwmae@cynnalcymru.com,"Cynnal Cymru","","https://www.thenetworkeruk.com/organisers/cynnal-cymru?email=shwmae%40cynnalcymru.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
hello@dalesbusinesswomen.co.uk,"Dales Business Women","","https://www.thenetworkeruk.com/organisers/dales-business-women?email=hello%40dalesbusinesswomen.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
jayson.gurney@darlingtonbusinessclub.co.uk,"Darlington Business Club ltd","","https://www.thenetworkeruk.com/organisers/darlington-business-club-ltd?email=jayson.gurney%40darlingtonbusinessclub.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
contact@dealsourcingnetwork.co.uk,"Deal Sourcing Network","","https://www.thenetworkeruk.com/organisers/deal-sourcing-network?email=contact%40dealsourcingnetwork.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
contact@smallbusinessnetwork.ltd,"Denbighshire Small Business Network","","https://www.thenetworkeruk.com/organisers/denbighshire-small-business-network?email=contact%40smallbusinessnetwork.ltd&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
jimmy.drew@derbyshireccc.com,"Derbyshire Cricket Club 1870 Business Club","","https://www.thenetworkeruk.com/organisers/derbyshire-cricket-club-1870-business-club?email=jimmy.drew%40derbyshireccc.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
enquiries@designnetworknorth.org,"Design Network North","","https://www.thenetworkeruk.com/organisers/design-network-north?email=enquiries%40designnetworknorth.org&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
vickie@developher.co.uk,"DevelopHER","","https://www.thenetworkeruk.com/organisers/developher?email=vickie%40developher.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
